Wilaya,Value
Adrar,60.61
Chlef,60.26
Laghouat,42.47
Oum El Bouaghi,44.46
Batna,53.69
Béjaïa,56.38
Biskra,52.85
Béchar,49.17
Blida,57.9
Bouira,48.79
Tamanrasset,38.53
Tébessa,38.04
Tlemcen,54.45
Tiaret,52.79
Tizi Ouzou,71.82
Algiers,56.01
Djelfa,44.87
Jijel,54
Sétif,66.92
Saïda,49.7
Skikda,56.23
Sidi Bel Abbès,60.1
Annaba,54.65
Guelma,60.57
Constantine,52.59
Médéa,61.54
Mostaganem,59.47
M'Sila,49.31
Mascara,64.92
Ouargla,50.53
Oran,58.19
El Bayadh,59.09
Illizi,59.22
Bordj Bou Arreridj,56.02
Boumerdès,66.31
El Tarf,49.62
Tindouf,62.76
Tissemsilt,66.47
El Oued,51.4
Khenchela,43.35
Souk Ahras,51.89
Tipaza,63.63
Mila,52.3
Aïn Defla,63.34
Naâma,46.12
Aïn Témouchent,60.86
Ghardaia,44.86
Relizane,63.17
Timimoune,56.02
Bordj Badji Mokhtar,66.31
In Guezzam,49.62
Djanet,62.76
In Salah,66.47
Béni Abbès,51.4
El Menia,43.35
Ouled Djellal,51.89
El M'Ghair,63.63
Touggourt,43.35
